used,len_groups,len_unique,new_size,entropy_full,entropy_cut
"['marital_status', 'number_vehicles', 'commute_time', 'disease']",392,88,1912,7.996,7.7944
"['gender', 'children', 'marital_status', 'commute_time', 'disease']",327,93,1907,7.5512,7.316
"['education', 'gender', 'number_vehicles', 'accommodation', 'disease']",430,94,1906,8.3062,8.1056
"['gender', 'children', 'number_vehicles', 'commute_time', 'disease']",351,99,1901,7.8241,7.5873
"['education', 'children', 'commute_time', 'accommodation', 'disease']",380,102,1898,7.9242,7.6852
"['education', 'gender', 'children', 'commute_time', 'disease']",391,103,1897,7.9941,7.7565
"['state', 'disease']",491,105,1895,8.4993,8.2848
"['children', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",337,105,1895,7.575,7.3093
"['education', 'employment', 'number_vehicles', 'disease']",434,107,1893,8.2387,8.0053
"['gender', 'children', 'marital_status', 'number_vehicles', 'disease']",369,108,1892,7.7843,7.5227
"['education', 'children', 'number_vehicles', 'accommodation', 'disease']",368,111,1889,7.837,7.5707
"['education', 'gender', 'children', 'number_vehicles', 'disease']",402,113,1887,8.1139,7.8592
"['children', 'marital_status', 'commute_time', 'accommodation', 'disease']",347,113,1887,7.564,7.2764
"['gender', 'employment', 'number_vehicles', 'commute_time', 'disease']",432,115,1885,8.2052,7.9513
"['gender', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",445,115,1885,8.195,7.9405
"['education', 'gender', 'commute_time', 'accommodation', 'disease']",465,117,1883,8.4231,8.1781
"['gender', 'marital_status', 'commute_time', 'accommodation', 'disease']",445,121,1879,8.2241,7.9575
"['children', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",352,124,1876,7.5395,7.2207
"['education', 'marital_status', 'commute_time', 'disease']",449,128,1872,8.1643,7.8773
"['gender', 'children', 'employment', 'marital_status', 'disease']",370,130,1870,7.6063,7.2758
"['education', 'gender', 'employment', 'commute_time', 'disease']",469,132,1868,8.344,8.0603
"['education', 'children', 'employment', 'commute_time', 'disease']",387,132,1868,7.8243,7.5038
"['children', 'employment', 'number_vehicles', 'commute_time', 'disease']",370,133,1867,7.685,7.352
"['education', 'marital_status', 'number_vehicles', 'disease']",469,134,1866,8.2748,7.9815
"['education', 'gender', 'children', 'marital_status', 'disease']",416,136,1864,7.9648,7.6442
"['education', 'gender', 'children', 'employment', 'disease']",414,137,1863,8.0434,7.7261
"['children', 'employment', 'marital_status', 'commute_time', 'disease']",350,141,1859,7.4053,7.0298
"['gender', 'employment', 'marital_status', 'commute_time', 'disease']",439,143,1857,8.0713,7.7414
"['gender', 'children', 'employment', 'commute_time', 'accommodation', 'disease']",409,143,1857,7.8696,7.5241
"['employment', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",403,143,1857,7.8444,7.497
"['children', 'employment', 'marital_status', 'accommodation', 'disease']",379,143,1857,7.571,7.2025
"['education', 'employment', 'commute_time', 'accommodation', 'disease']",459,144,1856,8.2379,7.9185
"['employment', 'marital_status', 'number_vehicles', 'disease']",445,145,1855,8.0701,7.7352
"['education', 'gender', 'employment', 'accommodation', 'disease']",494,146,1854,8.4582,8.1514
"['education', 'children', 'employment', 'accommodation', 'disease']",408,149,1851,7.9429,7.5879
"['children', 'employment', 'number_vehicles', 'accommodation', 'disease']",373,149,1851,7.5516,7.1651
"['gender', 'children', 'employment', 'number_vehicles', 'disease']",402,151,1849,7.9175,7.5553
"['education', 'children', 'marital_status', 'accommodation', 'disease']",421,152,1848,7.9199,7.5553
"['gender', 'employment', 'number_vehicles', 'accommodation', 'disease']",429,155,1845,8.0613,7.7009
"['education', 'employment', 'marital_status', 'disease']",478,159,1841,8.2061,7.8483
"['employment', 'marital_status', 'commute_time', 'accommodation', 'disease']",450,168,1832,8.0251,7.6289
"['gender', 'employment', 'marital_status', 'accommodation', 'disease']",488,170,1830,8.2344,7.8525
"['children', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",469,176,1824,8.1316,7.7252
"['education', 'gender', 'marital_status', 'accommodation', 'disease']",547,178,1822,8.5662,8.1973
"['education', 'children', 'number_vehicles', 'commute_time', 'disease']",520,180,1820,8.4417,8.056
"['education', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",570,182,1818,8.6537,8.2846
"['gender', 'children', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",507,190,1810,8.3612,7.9438
"['gender', 'children', 'marital_status', 'commute_time', 'accommodation', 'disease']",514,190,1810,8.3485,7.9298
"['gender', 'children', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",519,193,1807,8.3259,7.8976
"['education', 'children', 'employment', 'number_vehicles', 'disease']",544,201,1799,8.4939,8.0649
"['education', 'gender', 'children', 'number_vehicles', 'accommodation', 'disease']",564,203,1797,8.6193,8.1998
"['education', 'gender', 'number_vehicles', 'commute_time', 'disease']",633,204,1796,8.9027,8.5131
"['marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",563,204,1796,8.5256,8.0933
"['gender', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",607,205,1795,8.7667,8.3596
"['gender', 'children', 'employment', 'marital_status', 'commute_time', 'disease']",503,214,1786,8.1858,7.6895
"['education', 'employment', 'number_vehicles', 'commute_time', 'disease']",613,216,1784,8.769,8.3382
"['education', 'children', 'marital_status', 'commute_time', 'disease']",524,218,1782,8.2925,7.799
"['children', 'employment', 'marital_status', 'number_vehicles', 'disease']",514,221,1779,8.1854,7.671
"['education', 'gender', 'children', 'commute_time', 'accommodation', 'disease']",593,222,1778,8.712,8.2609
"['education', 'gender', 'employment', 'number_vehicles', 'disease']",668,223,1777,8.9801,8.5604
"['state', 'children', 'disease']",630,224,1776,8.8059,8.3622
"['education', 'children', 'marital_status', 'number_vehicles', 'disease']",543,224,1776,8.4002,7.9053
"['dob', 'disease']",761,227,1773,9.3088,8.9228
"['education', 'employment', 'number_vehicles', 'accommodation', 'disease']",586,230,1770,8.6295,8.1497
"['children', 'employment', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",506,230,1770,8.1107,7.5635
"['education', 'children', 'employment', 'commute_time', 'accommodation', 'disease']",563,231,1769,8.4915,7.9913
"['education', 'gender', 'children', 'employment', 'commute_time', 'disease']",581,232,1768,8.5941,8.105
"['gender', 'children', 'employment', 'number_vehicles', 'commute_time', 'disease']",550,232,1768,8.461,7.9545
"['education', 'gender', 'children', 'employment', 'accommodation', 'disease']",600,237,1763,8.7013,8.2149
"['gender', 'children', 'employment', 'marital_status', 'accommodation', 'disease']",550,238,1762,8.3438,7.8069
"['children', 'employment', 'marital_status', 'commute_time', 'accommodation', 'disease']",516,239,1761,8.1481,7.5821
"['education', 'children', 'employment', 'marital_status', 'disease']",544,241,1759,8.3125,7.7637
"['education', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",637,243,1757,8.7675,8.2766
"['employment', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",603,248,1752,8.6187,8.0955
"['employment', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",587,252,1748,8.473,7.9194
"['gender', 'children', 'employment', 'number_vehicles', 'accommodation', 'disease']",537,255,1745,8.3216,7.7384
"['education', 'gender', 'marital_status', 'commute_time', 'disease']",670,257,1743,8.8964,8.3928
"['gender', 'employment', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",599,257,1743,8.6074,8.0612
"['education', 'gender', 'children', 'marital_status', 'accommodation', 'disease']",616,259,1741,8.6807,8.1407
"['education', 'marital_status', 'commute_time', 'accommodation', 'disease']",663,260,1740,8.8548,8.3385
"['education', 'gender', 'marital_status', 'number_vehicles', 'disease']",704,268,1732,9.0128,8.5031
"['education', 'employment', 'marital_status', 'commute_time', 'disease']",645,275,1725,8.7454,8.178
"['gender', 'employment', 'marital_status', 'number_vehicles', 'disease']",662,276,1724,8.8185,8.2605
"['gender', 'children', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",670,286,1714,8.861,8.2871
"['education', 'employment', 'marital_status', 'accommodation', 'disease']",680,289,1711,8.8408,8.2567
"['education', 'gender', 'employment', 'commute_time', 'accommodation', 'disease']",697,291,1709,8.9782,8.4129
"['education', 'gender', 'employment', 'marital_status', 'disease']",701,291,1709,8.926,8.3519
"['gender', 'employment', 'marital_status', 'commute_time', 'accommodation', 'disease']",658,291,1709,8.768,8.1669
"['children', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",635,293,1707,8.6398,8.012
"['gender', 'state', 'disease']",786,308,1692,9.2488,8.6949
"['education', 'children', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",697,310,1690,8.913,8.2934
"['children', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",663,322,1678,8.7114,8.0255
"['state', 'accommodation', 'disease']",790,324,1676,9.2326,8.6426
"['education', 'children', 'employment', 'number_vehicles', 'accommodation', 'disease']",692,335,1665,8.8531,8.1635
"['education', 'children', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",706,336,1664,8.871,8.1827
"['education', 'children', 'employment', 'number_vehicles', 'commute_time', 'disease']",727,337,1663,8.9862,8.3188
"['education', 'gender', 'children', 'marital_status', 'commute_time', 'disease']",734,339,1661,8.992,8.3212
"['children', 'employment', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",653,339,1661,8.572,7.8155
"['education', 'gender', 'children', 'number_vehicles', 'commute_time', 'disease']",769,340,1660,9.1551,8.5154
"['dob', 'children', 'disease']",858,343,1657,9.4604,8.8773
"['education', 'children', 'marital_status', 'commute_time', 'accommodation', 'disease']",729,347,1653,8.9506,8.2526
"['education', 'gender', 'children', 'employment', 'number_vehicles', 'disease']",783,352,1648,9.185,8.5253
"['education', 'children', 'employment', 'marital_status', 'commute_time', 'disease']",703,354,1646,8.8323,8.0925
"['gender', 'children', 'employment', 'marital_status', 'commute_time', 'accommodation', 'disease']",713,355,1645,8.8577,8.1209
"['education', 'gender', 'children', 'marital_status', 'number_vehicles', 'disease']",769,359,1641,9.1057,8.4134
"['gender', 'children', 'employment', 'marital_status', 'number_vehicles', 'disease']",722,359,1641,8.9002,8.1629
"['education', 'children', 'employment', 'marital_status', 'accommodation', 'disease']",736,364,1636,8.9221,8.1776
"['education', 'gender', 'children', 'employment', 'marital_status', 'disease']",753,365,1635,9.0004,8.271
"['gender', 'children', 'employment', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",704,369,1631,8.8218,8.0425
"['education', 'employment', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",781,374,1626,9.1151,8.3908
"['gender', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",813,385,1615,9.2209,8.4965
"['education', 'gender', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",843,390,1610,9.3398,8.633
"['education', 'gender', 'children', 'employment', 'commute_time', 'accommodation', 'disease']",802,392,1608,9.1834,8.4342
"['employment', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",760,393,1607,8.9713,8.168
"['education', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",834,398,1602,9.2647,8.522
"['education', 'gender', 'employment', 'number_vehicles', 'accommodation', 'disease']",839,400,1600,9.3066,8.5699
"['education', 'gender', 'employment', 'number_vehicles', 'commute_time', 'disease']",886,422,1578,9.4263,8.6727
"['gender', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",852,425,1575,9.2952,8.4998
"['education', 'employment', 'marital_status', 'number_vehicles', 'disease']",860,429,1571,9.2907,8.485
"['gender', 'employment', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",820,429,1571,9.1546,8.3117
"['education', 'employment', 'marital_status', 'commute_time', 'accommodation', 'disease']",875,449,1551,9.3152,8.4705
"['gender', 'children', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",864,450,1550,9.2953,8.4426
"['education', 'gender', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",908,457,1543,9.4352,8.6076
"['gender', 'state', 'children', 'disease']",927,460,1540,9.4905,8.6727
"['education', 'gender', 'employment', 'marital_status', 'commute_time', 'disease']",899,464,1536,9.3897,8.5328
"['state', 'commute_time', 'disease']",939,469,1531,9.5074,8.6751
"['children', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",816,471,1529,9.0513,8.0741
"['education', 'gender', 'marital_status', 'commute_time', 'accommodation', 'disease']",936,477,1523,9.5028,8.6516
"['state', 'children', 'accommodation', 'disease']",926,479,1521,9.4654,8.5979
"['education', 'children', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",895,490,1510,9.345,8.4136
"['education', 'children', 'employment', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",885,491,1509,9.3013,8.3533
"['gender', 'children', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",900,498,1502,9.3571,8.4106
"['education', 'gender', 'employment', 'marital_status', 'accommodation', 'disease']",945,501,1499,9.4784,8.5653
"['gender', 'children', 'employment', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",870,502,1498,9.2211,8.2195
"['education', 'children', 'employment', 'marital_status', 'number_vehicles', 'disease']",909,504,1496,9.3541,8.3922
"['dob', 'employment', 'disease']",991,505,1495,9.6524,8.7888
"['education', 'gender', 'children', 'employment', 'number_vehicles', 'accommodation', 'disease']",936,506,1494,9.4761,8.5508
"['state', 'number_vehicles', 'disease']",1005,514,1486,9.6616,8.7819
"['education', 'children', 'employment', 'marital_status', 'commute_time', 'accommodation', 'disease']",923,517,1483,9.3806,8.3965
"['state', 'employment', 'disease']",982,529,1471,9.5665,8.6201
"['education', 'gender', 'children', 'employment', 'marital_status', 'commute_time', 'disease']",943,529,1471,9.4494,8.4609
"['education', 'gender', 'children', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",965,530,1470,9.5419,8.5844
"['education', 'gender', 'children', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",963,539,1461,9.5074,8.5164
"['education', 'gender', 'children', 'marital_status', 'commute_time', 'accommodation', 'disease']",983,543,1457,9.5655,8.5866
"['education', 'gender', 'children', 'employment', 'number_vehicles', 'commute_time', 'disease']",989,548,1452,9.5904,8.6093
"['gender', 'dob', 'disease']",1108,553,1447,9.9092,9.0385
"['education', 'gender', 'children', 'employment', 'marital_status', 'accommodation', 'disease']",986,560,1440,9.533,8.5018
"['state', 'marital_status', 'disease']",1001,565,1435,9.5678,8.5384
"['dob', 'accommodation', 'disease']",1099,566,1434,9.8763,8.9664
"['education', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1018,572,1428,9.6265,8.604
"['education', 'employment', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",1008,587,1413,9.5704,8.4895
"['gender', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1007,597,1403,9.5701,8.4648
"['education', 'state', 'disease']",1077,605,1395,9.7747,8.7384
"['dob', 'children', 'employment', 'disease']",1075,614,1386,9.7768,8.7209
"['education', 'gender', 'employment', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1050,615,1385,9.6941,8.5992
"['education', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",1056,617,1383,9.6928,8.5927
"['state', 'children', 'commute_time', 'disease']",1059,620,1380,9.6943,8.5877
"['state', 'children', 'marital_status', 'disease']",1046,630,1370,9.6303,8.4704
"['education', 'children', 'employment', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",1048,653,1347,9.6188,8.3956
"['gender', 'state', 'accommodation', 'disease']",1120,654,1346,9.8452,8.7295
"['dob', 'commute_time', 'disease']",1137,656,1344,9.8882,8.7888
"['state', 'children', 'employment', 'disease']",1080,658,1342,9.7156,8.527
"['gender', 'children', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1047,659,1341,9.6216,8.3844
"['education', 'children', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1071,660,1340,9.6903,8.4843
"['education', 'gender', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",1122,667,1333,9.8383,8.6887
"['dob', 'children', 'accommodation', 'disease']",1175,671,1329,9.9786,8.8905
"['state', 'children', 'number_vehicles', 'disease']",1125,672,1328,9.8396,8.679
"['gender', 'dob', 'children', 'disease']",1198,680,1320,10.0259,8.9422
"['education', 'gender', 'employment', 'marital_status', 'number_vehicles', 'disease']",1130,681,1319,9.8354,8.6512
"['education', 'children', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",1098,685,1315,9.7442,8.5029
"['education', 'gender', 'employment', 'marital_status', 'commute_time', 'accommodation', 'disease']",1143,694,1306,9.8541,8.6485
"['education', 'gender', 'children', 'employment', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1138,720,1280,9.8307,8.5484
"['education', 'gender', 'children', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",1164,736,1264,9.8895,8.6008
"['state', 'number_vehicles', 'accommodation', 'disease']",1198,744,1256,9.9676,8.7051
"['dob', 'children', 'commute_time', 'disease']",1202,746,1254,9.9796,8.7194
"['education', 'gender', 'children', 'employment', 'marital_status', 'commute_time', 'accommodation', 'disease']",1177,746,1254,9.8966,8.587
"['education', 'gender', 'children', 'employment', 'marital_status', 'number_vehicles', 'disease']",1168,746,1254,9.8795,8.5598
"['state', 'employment', 'commute_time', 'disease']",1185,753,1247,9.9177,8.6033
"['education', 'state', 'children', 'disease']",1193,755,1245,9.9443,8.6409
"['dob', 'marital_status', 'disease']",1232,780,1220,10.0298,8.7183
"['dob', 'employment', 'commute_time', 'disease']",1219,781,1219,9.9889,8.6487
"['gender', 'state', 'commute_time', 'disease']",1235,789,1211,10.0199,8.6798
"['education', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1200,789,1211,9.922,8.5181
"['state', 'commute_time', 'accommodation', 'disease']",1232,795,1205,10.0135,8.6542
"['gender', 'state', 'children', 'accommodation', 'disease']",1236,802,1198,10.0142,8.6378
"['dob', 'employment', 'accommodation', 'disease']",1262,806,1194,10.085,8.7462
"['dob', 'children', 'marital_status', 'disease']",1254,817,1183,10.0556,8.6695
"['gender', 'state', 'employment', 'disease']",1260,824,1176,10.0593,8.658
"['gender', 'dob', 'employment', 'disease']",1291,830,1170,10.136,8.7738
"['education', 'children', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1233,845,1155,9.9606,8.4331
"['state', 'employment', 'accommodation', 'disease']",1255,848,1152,10.0186,8.5256
"['dob', 'number_vehicles', 'disease']",1324,859,1141,10.1921,8.7999
"['education', 'gender', 'employment', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",1271,863,1137,10.0522,8.544
"['dob', 'children', 'employment', 'commute_time', 'disease']",1281,868,1132,10.0757,8.572
"['state', 'children', 'employment', 'commute_time', 'disease']",1264,868,1132,10.026,8.4843
"['gender', 'state', 'marital_status', 'disease']",1285,876,1124,10.0671,8.5354
"['education', 'gender', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1301,890,1110,10.1093,8.5732
"['state', 'marital_status', 'accommodation', 'disease']",1289,895,1105,10.0615,8.4732
"['education', 'gender', 'employment', 'marital_status', 'number_vehicles', 'commute_time', 'disease']",1317,897,1103,10.1401,8.6101
"['gender', 'state', 'number_vehicles', 'disease']",1327,901,1099,10.1647,8.6442
"['dob', 'children', 'employment', 'accommodation', 'disease']",1328,902,1098,10.1704,8.6519
"['state', 'children', 'number_vehicles', 'accommodation', 'disease']",1305,902,1098,10.1099,8.5418
"['education', 'gender', 'children', 'employment', 'marital_status', 'number_vehicles', 'accommodation', 'disease']",1300,913,1087,10.0855,8.4665
"['education', 'state', 'accommodation', 'disease']",1339,916,1084,10.1858,8.6431
"['gender', 'state', 'children', 'marital_status', 'disease']",1317,931,1069,10.1064,8.4542
"['education', 'dob', 'disease']",1383,934,1066,10.2735,8.7591
"['gender', 'state', 'children', 'commute_time', 'disease']",1333,934,1066,10.1497,8.5268
"['state', 'children', 'commute_time', 'accommodation', 'disease']",1327,937,1063,10.1373,8.4951
"['gender', 'dob', 'children', 'employment', 'disease']",1367,944,1056,10.2315,8.6536
"['gender', 'state', 'children', 'employment', 'disease']",1341,946,1054,10.1641,8.5205
"['education', 'gender', 'children', 'marital_status', 'number_vehicles', 'commute_time', 'accommodation', 'disease']",1335,948,1052,10.1491,8.4863
"['dob', 'children', 'number_vehicles', 'disease']",1385,949,1051,10.2697,8.713
